id,horario_trabalho,biorritmo,nivel_escolaridade,gosta_ler,lugar_animado,gosta_cinema,animal_estimacao,cozinha,esporte,dieta_especial,fumador,recebe_visitas,organizada_relaxada,musica_tipo,musica_alto,plano_perfeito,instrumento
60,manha,noturno,fundamental,sim,nao,sim,sim,cozinhar,sim,sim,nao,nao,organizada,rock,nao,casa,nao
61,noite,noturno,medio,nao,nao,sim,nao,pedir,sim,nao,sim,nao,organizada,funk,nao,sair,sim
62,manha,madrugador,superior,nao,nao,sim,nao,pedir,sim,sim,nao,nao,relaxada,sertanejo,nao,casa,nao
63,noite,noturno,medio,sim,sim,nao,nao,pedir,sim,sim,nao,sim,relaxada,funk,nao,sair,nao
64,manha,madrugador,superior,nao,nao,sim,sim,pedir,sim,nao,sim,nao,organizada,sertanejo,nao,sair,nao
65,noite,noturno,medio,nao,sim,nao,nao,cozinhar,sim,sim,nao,sim,relaxada,funk,sim,sair,sim
66,manha,madrugador,medio,nao,nao,sim,nao,cozinhar,nao,nao,nao,nao,organizada,rock,nao,casa,nao
67,manha,madrugador,medio,sim,nao,sim,sim,pedir,nao,sim,nao,nao,organizada,sertanejo,nao,casa,nao
68,noite,madrugador,superior,nao,nao,sim,sim,cozinhar,nao,nao,sim,nao,organizada,funk,nao,casa,sim
69,manha,madrugador,superior,nao,nao,sim,nao,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
70,manha,noturno,superior,nao,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,rock,sim,casa,sim
71,noite,noturno,medio,sim,sim,sim,nao,pedir,sim,sim,sim,sim,organizada,funk,sim,casa,sim
72,noite,noturno,medio,sim,nao,nao,sim,pedir,sim,sim,sim,sim,relaxada,funk,sim,casa,sim
73,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
74,noite,madrugador,superior,sim,nao,nao,nao,cozinhar,sim,nao,nao,sim,organizada,sertanejo,nao,casa,nao
75,noite,noturno,medio,nao,sim,sim,nao,pedir,sim,sim,nao,sim,relaxada,funk,sim,sair,sim
76,manha,madrugador,medio,sim,nao,sim,nao,cozinhar,nao,nao,sim,nao,organizada,rock,nao,casa,nao
77,manha,madrugador,superior,sim,nao,nao,sim,cozinhar,sim,nao,nao,nao,organizada,sertanejo,nao,casa,nao
78,noite,madrugador,superior,nao,sim,sim,nao,cozinhar,nao,sim,sim,sim,organizada,classica,sim,sair,sim
79,manha,madrugador,superior,sim,nao,nao,nao,cozinhar,sim,nao,nao,sim,organizada,sertanejo,nao,casa,nao
80,noite,madrugador,superior,nao,sim,nao,nao,cozinhar,sim,sim,sim,sim,relaxada,classica,nao,casa,sim
81,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,organizada,funk,nao,sair,sim
82,noite,noturno,medio,nao,nao,nao,nao,pedir,sim,sim,sim,sim,relaxada,rock,sim,sair,sim
83,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,sim,nao,nao,relaxada,classica,sim,casa,sim
84,noite,noturno,medio,sim,sim,nao,nao,pedir,nao,nao,sim,sim,relaxada,funk,nao,sair,sim
85,noite,noturno,superior,nao,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,sertanejo,nao,casa,sim
86,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,sim,sim,nao,nao,relaxada,sertanejo,nao,casa,nao
87,manha,madrugador,fundamental,sim,nao,sim,sim,cozinhar,sim,nao,nao,nao,organizada,rock,nao,casa,nao
88,noite,noturno,superior,nao,sim,sim,nao,pedir,nao,sim,sim,sim,organizada,classica,sim,sair,sim
89,noite,noturno,medio,nao,sim,nao,nao,pedir,nao,sim,sim,sim,relaxada,funk,sim,sair,sim
90,noite,madrugador,superior,sim,nao,sim,nao,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,sair,nao
91,noite,noturno,superior,nao,nao,nao,nao,pedir,sim,nao,sim,nao,organizada,rock,sim,sair,sim
92,noite,noturno,fundamental,sim,sim,nao,nao,pedir,sim,sim,sim,sim,organizada,funk,nao,sair,sim
93,manha,madrugador,superior,sim,nao,nao,sim,pedir,nao,nao,nao,nao,organizada,sertanejo,sim,casa,nao
94,manha,noturno,medio,sim,sim,sim,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
95,manha,madrugador,medio,sim,nao,sim,sim,cozinhar,sim,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
96,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,sim,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
97,manha,madrugador,superior,sim,sim,sim,nao,pedir,nao,sim,sim,sim,relaxada,sertanejo,sim,sair,sim
98,manha,madrugador,fundamental,sim,nao,sim,nao,cozinhar,nao,nao,nao,sim,relaxada,sertanejo,nao,casa,nao
99,noite,noturno,fundamental,sim,nao,sim,sim,cozinhar,sim,nao,nao,nao,organizada,rock,nao,casa,nao
100,noite,noturno,fundamental,sim,nao,sim,sim,pedir,sim,nao,nao,nao,relaxada,rock,sim,sair,nao
101,noite,madrugador,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,nao,sair,sim
102,manha,noturno,fundamental,nao,nao,nao,sim,cozinhar,nao,nao,nao,nao,organizada,rock,sim,casa,nao
103,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,sim,casa,nao
104,manha,noturno,medio,nao,sim,sim,nao,pedir,nao,sim,sim,sim,relaxada,funk,sim,sair,sim
105,manha,madrugador,superior,nao,sim,nao,sim,pedir,sim,sim,sim,sim,relaxada,sertanejo,sim,casa,sim
106,manha,madrugador,medio,sim,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,sertanejo,sim,casa,nao
107,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
108,manha,madrugador,superior,sim,nao,sim,nao,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,sair,nao
109,noite,madrugador,fundamental,sim,sim,nao,sim,cozinhar,nao,nao,nao,nao,organizada,funk,sim,casa,nao
110,manha,madrugador,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
111,manha,noturno,medio,nao,nao,nao,nao,pedir,sim,nao,sim,sim,organizada,funk,nao,sair,sim
112,noite,noturno,medio,nao,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,classica,nao,sair,sim
113,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,nao,sim,nao,relaxada,rock,sim,casa,sim
114,manha,noturno,superior,nao,sim,nao,nao,pedir,nao,sim,sim,sim,organizada,classica,sim,casa,sim
115,noite,noturno,medio,nao,sim,nao,sim,pedir,sim,nao,sim,sim,relaxada,funk,sim,sair,sim
116,manha,madrugador,superior,sim,sim,sim,sim,cozinhar,nao,sim,nao,nao,relaxada,sertanejo,nao,sair,nao
117,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,nao,relaxada,funk,sim,sair,sim
118,noite,madrugador,fundamental,sim,nao,nao,sim,pedir,nao,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
119,noite,noturno,superior,sim,sim,sim,nao,pedir,nao,sim,sim,sim,relaxada,classica,sim,sair,nao
120,noite,madrugador,superior,nao,nao,nao,nao,pedir,nao,sim,sim,sim,relaxada,sertanejo,sim,sair,sim
121,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,sim,organizada,sertanejo,nao,casa,nao
122,manha,madrugador,superior,nao,sim,nao,sim,cozinhar,nao,nao,nao,nao,organizada,classica,nao,casa,nao
123,noite,madrugador,medio,nao,sim,nao,nao,cozinhar,sim,sim,sim,sim,organizada,classica,sim,sair,sim
124,manha,madrugador,fundamental,sim,sim,sim,sim,cozinhar,nao,sim,nao,nao,organizada,rock,nao,casa,nao
125,noite,madrugador,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,organizada,classica,sim,sair,sim
126,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
127,manha,madrugador,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,sim,nao,relaxada,rock,nao,casa,nao
128,manha,madrugador,superior,sim,nao,nao,sim,pedir,nao,nao,sim,sim,organizada,sertanejo,nao,casa,nao
129,noite,madrugador,fundamental,nao,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,funk,sim,sair,sim
130,noite,noturno,medio,nao,sim,sim,nao,pedir,sim,nao,sim,sim,relaxada,funk,nao,sair,nao
131,manha,madrugador,fundamental,sim,nao,sim,nao,cozinhar,nao,nao,nao,nao,organizada,rock,sim,casa,nao
132,manha,madrugador,superior,sim,nao,nao,sim,cozinhar,sim,nao,nao,nao,organizada,rock,nao,casa,nao
133,noite,noturno,superior,nao,nao,nao,sim,pedir,sim,sim,sim,sim,organizada,classica,sim,sair,sim
134,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,sim,sim,nao,nao,organizada,sertanejo,nao,casa,nao
135,noite,madrugador,fundamental,sim,nao,sim,nao,pedir,nao,nao,sim,nao,organizada,rock,nao,casa,nao
136,noite,madrugador,fundamental,nao,sim,sim,sim,cozinhar,sim,nao,nao,nao,organizada,sertanejo,nao,sair,nao
137,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,classica,sim,sair,sim
138,noite,noturno,superior,sim,sim,nao,nao,pedir,nao,sim,sim,nao,relaxada,classica,nao,sair,nao
139,manha,madrugador,superior,sim,nao,sim,sim,pedir,nao,nao,nao,sim,relaxada,sertanejo,sim,casa,nao
140,noite,noturno,superior,sim,sim,sim,nao,pedir,sim,sim,sim,sim,organizada,classica,sim,sair,sim
141,manha,madrugador,fundamental,sim,nao,sim,sim,pedir,nao,nao,sim,nao,organizada,rock,nao,casa,nao
142,noite,noturno,fundamental,sim,nao,nao,sim,cozinhar,sim,nao,nao,nao,organizada,rock,sim,casa,nao
143,noite,noturno,medio,sim,nao,sim,nao,cozinhar,sim,sim,sim,nao,relaxada,funk,sim,sair,sim
144,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
145,noite,madrugador,superior,nao,sim,nao,nao,pedir,sim,nao,nao,sim,organizada,classica,sim,sair,sim
146,manha,madrugador,fundamental,nao,nao,sim,nao,cozinhar,nao,nao,nao,nao,organizada,rock,nao,casa,nao
147,manha,madrugador,superior,sim,nao,nao,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
148,noite,noturno,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,sim,organizada,sertanejo,nao,casa,nao
149,manha,madrugador,fundamental,sim,sim,sim,nao,cozinhar,nao,nao,nao,nao,relaxada,rock,nao,casa,nao
150,noite,noturno,superior,nao,sim,nao,sim,pedir,nao,sim,sim,sim,organizada,classica,sim,sair,sim
151,manha,noturno,medio,nao,sim,sim,nao,pedir,nao,sim,sim,nao,organizada,funk,sim,sair,nao
152,manha,madrugador,fundamental,sim,nao,sim,sim,pedir,nao,sim,nao,nao,organizada,rock,nao,sair,nao
153,noite,noturno,superior,nao,sim,nao,sim,pedir,nao,nao,nao,sim,relaxada,funk,sim,casa,sim
154,manha,madrugador,superior,nao,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
155,manha,madrugador,fundamental,nao,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
156,manha,madrugador,medio,sim,nao,sim,sim,pedir,sim,nao,nao,nao,organizada,rock,nao,casa,nao
157,noite,madrugador,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,sertanejo,sim,sair,sim
158,noite,madrugador,superior,nao,sim,sim,nao,pedir,sim,sim,nao,nao,relaxada,classica,nao,casa,sim
159,noite,noturno,superior,nao,sim,sim,sim,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,nao
160,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,sim,nao,nao,sim,organizada,sertanejo,nao,casa,nao
161,manha,noturno,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,nao,sim,relaxada,rock,sim,casa,nao
162,manha,madrugador,superior,sim,nao,nao,sim,cozinhar,nao,nao,nao,nao,organizada,classica,sim,casa,nao
163,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,sim,nao,nao,organizada,sertanejo,nao,casa,nao
164,noite,madrugador,fundamental,sim,sim,nao,sim,pedir,nao,nao,nao,sim,relaxada,sertanejo,nao,casa,nao
165,noite,noturno,fundamental,sim,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,sair,sim
166,noite,noturno,superior,nao,sim,nao,sim,pedir,sim,sim,sim,sim,relaxada,classica,sim,casa,nao
167,manha,noturno,medio,sim,sim,nao,nao,pedir,sim,nao,nao,nao,relaxada,funk,sim,sair,sim
168,noite,noturno,superior,nao,sim,nao,sim,pedir,sim,sim,sim,sim,relaxada,classica,sim,casa,sim
169,noite,madrugador,medio,nao,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,rock,nao,casa,nao
170,noite,madrugador,fundamental,sim,nao,sim,nao,cozinhar,nao,sim,sim,sim,organizada,rock,nao,casa,nao
171,noite,madrugador,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,sim,sim,organizada,rock,nao,casa,nao
172,noite,noturno,medio,nao,sim,nao,nao,cozinhar,sim,sim,sim,sim,organizada,funk,sim,sair,nao
173,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,nao,sim,organizada,classica,nao,sair,sim
174,noite,madrugador,medio,nao,sim,nao,nao,pedir,nao,nao,sim,sim,relaxada,funk,sim,sair,sim
175,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,nao
176,manha,madrugador,fundamental,sim,sim,sim,sim,cozinhar,sim,nao,sim,sim,organizada,classica,nao,casa,sim
177,noite,noturno,fundamental,nao,nao,sim,nao,pedir,sim,sim,nao,sim,relaxada,classica,sim,sair,sim
178,noite,noturno,fundamental,sim,nao,sim,sim,cozinhar,nao,sim,sim,sim,organizada,rock,nao,casa,nao
179,manha,madrugador,medio,nao,sim,nao,nao,pedir,sim,nao,sim,nao,organizada,funk,sim,sair,sim
180,noite,noturno,superior,nao,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,classica,nao,sair,nao
181,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,sair,sim
182,noite,madrugador,fundamental,sim,sim,sim,nao,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,sim,sair,nao
183,manha,noturno,superior,nao,nao,nao,nao,pedir,nao,sim,sim,sim,relaxada,classica,sim,sair,sim
184,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,nao,sim,sim,organizada,funk,sim,sair,sim
185,manha,noturno,medio,sim,sim,sim,nao,pedir,sim,sim,nao,sim,relaxada,funk,sim,casa,sim
186,manha,noturno,medio,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,rock,nao,casa,nao
187,noite,madrugador,superior,sim,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
188,manha,madrugador,fundamental,sim,nao,nao,sim,cozinhar,nao,nao,sim,sim,organizada,rock,nao,sair,nao
189,manha,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,nao,sim,relaxada,classica,sim,casa,sim
190,manha,madrugador,medio,sim,nao,sim,sim,cozinhar,sim,nao,nao,nao,organizada,sertanejo,nao,casa,nao
191,manha,madrugador,superior,sim,nao,sim,sim,pedir,nao,nao,sim,nao,organizada,sertanejo,nao,casa,nao
192,manha,madrugador,medio,sim,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,rock,nao,casa,nao
193,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,nao,sim,sim,organizada,sertanejo,sim,sair,sim
194,noite,noturno,medio,nao,nao,sim,nao,pedir,sim,nao,nao,sim,organizada,funk,sim,sair,sim
195,manha,madrugador,fundamental,nao,nao,sim,sim,pedir,nao,nao,sim,nao,organizada,funk,sim,casa,nao
196,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,nao
197,noite,noturno,superior,nao,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
198,manha,noturno,medio,nao,sim,sim,nao,pedir,nao,nao,sim,sim,relaxada,classica,sim,sair,sim
199,noite,noturno,superior,sim,sim,nao,sim,pedir,nao,sim,sim,sim,relaxada,classica,nao,sair,sim
200,manha,noturno,superior,nao,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
201,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,sim,nao,sim,nao,relaxada,sertanejo,sim,casa,nao
202,noite,madrugador,fundamental,nao,sim,nao,sim,cozinhar,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
203,manha,madrugador,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,sim,sim,organizada,sertanejo,sim,casa,nao
204,manha,noturno,superior,nao,sim,nao,sim,pedir,sim,sim,nao,sim,relaxada,sertanejo,sim,sair,sim
205,manha,madrugador,superior,sim,sim,sim,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
206,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,sim,nao,nao,relaxada,rock,sim,casa,nao
207,manha,noturno,fundamental,sim,nao,sim,sim,pedir,sim,sim,nao,nao,organizada,rock,nao,casa,nao
208,noite,madrugador,fundamental,sim,sim,sim,sim,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,sim,casa,nao
209,noite,noturno,medio,nao,nao,sim,nao,cozinhar,sim,nao,nao,nao,organizada,rock,nao,casa,nao
210,noite,noturno,medio,nao,sim,sim,nao,pedir,sim,sim,nao,sim,relaxada,funk,sim,sair,sim
211,manha,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,nao,sair,sim
212,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,rock,nao,casa,nao
213,manha,noturno,superior,sim,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
214,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,funk,sim,sair,sim
215,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,classica,sim,casa,sim
216,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,funk,nao,casa,sim
217,manha,madrugador,superior,sim,nao,nao,nao,pedir,nao,nao,sim,sim,relaxada,sertanejo,sim,sair,nao
218,noite,noturno,medio,sim,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,sair,sim
219,noite,noturno,fundamental,nao,nao,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,casa,sim
220,manha,madrugador,fundamental,sim,sim,sim,sim,cozinhar,sim,nao,nao,sim,organizada,rock,sim,casa,nao
221,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
222,noite,noturno,medio,nao,sim,sim,nao,pedir,sim,nao,nao,sim,relaxada,funk,sim,sair,sim
223,manha,madrugador,fundamental,sim,nao,nao,sim,pedir,sim,nao,nao,nao,organizada,rock,nao,casa,nao
224,noite,noturno,superior,sim,sim,sim,nao,pedir,sim,nao,sim,sim,organizada,classica,sim,sair,sim
225,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,sair,sim
226,manha,noturno,superior,sim,nao,nao,sim,cozinhar,nao,sim,nao,nao,organizada,rock,nao,sair,sim
227,noite,madrugador,medio,sim,sim,sim,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,sair,sim
228,manha,noturno,fundamental,sim,nao,nao,sim,cozinhar,nao,nao,nao,nao,organizada,rock,sim,casa,nao
229,noite,noturno,superior,sim,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,sertanejo,sim,sair,sim
230,manha,madrugador,fundamental,sim,nao,sim,sim,cozinhar,nao,sim,nao,nao,organizada,rock,sim,casa,nao
231,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,sertanejo,sim,sair,sim
232,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,nao,sim,nao,relaxada,funk,sim,sair,sim
